Symbol,CompanyName,Exchange,Currency,LastPrice,Chg%,50-DMA,200-DMA,AvgVol(3m),AvgVol(10day),52-WkHigh,52-WkLow,SharesOut(millions),MarketCap(millions),BookVal,Price/Book,Price/Sales,TrailingP/E,ForwardP/E,EBITDA(millions),Div/Share,TrailingAnnualDivYield,ForwardAnnualDivYield,EPSCurrentYear,EPSEstNextYear,PEGRatio(5yrexpected)
BHP,BHPGroupLimited,NYQ,USD,58.05,0.0663,50.69,57.43,4.127M,4.766M,71.06,46.28,2531,199456,17.77,3.27,3.05,6.82,28.46,37648,7,0.06,0.12,,2.04,
LIN,Lindeplc,NYQ,USD,330.22,0.0056,286.3,298.76,1.89M,2.092M,352.18,262.47,494.38,163254,76.11,4.34,4.84,43.74,25.66,10735,4.57,0.01,0.01,12.03,12.87,2.6
RIO,RioTintoGroup,NYQ,USD,64.71,0.0641,55.76,66.04,4.266M,4.919M,84.69,50.92,1621,104877,31.22,2.07,1.74,5.96,15.37,28077,7.93,0.11,0.11,,4.21,
VALE,ValeS.A.,NYQ,USD,15.45,0.1155,13.47,15.59,43.442M,52.066M,21.29,11.16,4543,70183,7.31,2.11,1.57,3.98,6.18,22223,1.41,0.45,0.09,3.54,2.5,-0.17
APD,"AirProductsandChemicals,Inc.",NYQ,USD,288.46,-0.0039,248.44,245.72,1.02M,1.429M,309.29,216.24,221.8,63980,59.18,4.87,5.04,28.62,23.08,3751,6.36,0.02,0.02,11.39,12.5,2.39
SHW,TheSherwin-WilliamsCompany,NYQ,USD,237.24,-0.0074,218.4,245.19,1.499M,1.735M,354.15,195.24,259.14,61479,10.08,23.53,2.84,32.1,23.19,3328,2.35,0.01,0.01,8.72,10.23,2.39
FCX,Freeport-McMoRanInc.,NYQ,USD,38.04,0.0351,30.45,36.45,16.768M,18.349M,51.99,24.8,1429,54372,10.47,3.63,2.35,14.41,22.92,10014,0.53,0.02,0.02,2.29,1.66,-0.41
SCCO,SouthernCopperCorporation,NYQ,USD,60.39,0.0742,48.02,57.5,1.594M,1.999M,79.32,42.42,773.1,46687,9.79,6.17,4.64,18.19,21.49,5400,4,0.07,0.06,3.1,2.81,-1.77
CTVA,"Corteva,Inc.",NYQ,USD,64.77,-0.0363,62.29,57.76,3.272M,4.246M,68.43,43.74,714.49,46278,34.69,1.87,2.7,33.56,20.76,3574,0.57,0.01,0.01,2.58,3.12,1.52
ECL,EcolabInc.,NYQ,USD,155.68,0.0267,150.75,164.13,1.343M,2.269M,238.93,131.04,284.83,44342,24.8,6.28,3.19,39.71,31.14,2734,2.04,0.01,0.01,4.46,5,3.44
NTR,NutrienLtd.,NYQ,USD,76.68,-0.0316,84.11,89.11,2.372M,3.403M,117.25,65.84,520.18,39888,49.76,1.54,1.08,5.45,6.04,11781,1.9,0.02,0.03,13.99,12.69,0.69
ALB,AlbemarleCorporation,NYQ,USD,325.38,0.0144,278.26,237.1,1.392M,1.611M,334.55,169.93,117.15,38119,57.47,5.66,6.82,24.67,11.64,2123,1.57,0,0.01,21.13,27.96,0.2
DOW,DowInc.,NYQ,USD,53.14,0.0637,46.74,56.53,6.295M,6.563M,71.86,42.91,703.76,37398,25.74,2.06,0.63,6.87,12.1,9958,2.8,0.06,0.06,6.46,4.39,-1.07
NEM,NewmontCorporation,NYQ,USD,46.53,0.0026,42.41,58.68,9.074M,9.767M,86.37,37.45,793.74,36933,26.76,1.74,3.05,38.14,23.74,3665,2.2,0.05,0.05,2.58,1.96,
NUE,NucorCorporation,NYQ,USD,138.76,-0.0019,124.53,129.62,1.941M,1.983M,187.9,88.5,256.54,35598,69.03,2.01,0.82,4.38,10.67,12868,2,0.01,0.01,28.64,13.01,0.12
DD,"DuPontdeNemours,Inc.",NYQ,USD,70.81,0.0167,55.96,63.8,3.237M,5.461M,85.16,49.52,496.79,35178,50.15,1.41,2.04,22.34,14.33,4264,1.29,0.02,0.02,4.3,4.94,1.25
SQM,SociedadQuímicayMineradeChileS.A.,NYQ,USD,111.03,0.0304,97.4,87.57,1.716M,1.552M,115.76,46.13,285.64,31714,12.38,8.97,4.98,15.23,7.9,3294,4.6,0.04,0.07,12.98,14.05,0.56
PPG,"PPGIndustries,Inc.",NYQ,USD,130.09,0.0423,116.22,125.8,1.314M,1.356M,177.32,107.06,235.03,30575,25.67,5.07,1.73,29.23,18.56,2161,2.39,0.02,0.02,5.98,7.01,3.66
CRH,CRHplc,NYQ,USD,40.32,0.0307,34.79,39.01,596043,662590,54.54,31.22,748.17,30166,27.17,1.48,0.92,11.26,224,5455,1.18,0.03,0.03,,0.18,
LYB,LyondellBasellIndustriesN.V.,NYQ,USD,89.06,0.0607,79.44,93.54,2.459M,2.799M,117.22,71.46,325.62,29000,37.44,2.38,0.55,6.88,9.35,7273,4.64,0.06,0.05,12.43,9.53,-0.61
GOLD,BarrickGoldCorporation,NYQ,USD,16.44,0.0006,15.15,19.01,22.812M,29.59M,26.07,13.01,1762,28968,13.54,1.21,2.51,15.36,21.63,5804,0.49,0.02,0.03,0.8,0.76,-1.14
FNV,Franco-NevadaCorporation,NYQ,USD,141.65,0.0146,121.85,137.38,608792,823490,169.32,109.7,191.67,27149,32.62,4.34,20.56,35.95,38.18,1114,1.26,0.01,0.01,3.7,3.71,3.31
