Symbol,CompanyName,Exchange,Currency,LastPrice,Chg%,50-DMA,200-DMA,AvgVol(3m),AvgVol(10day),52-WkHigh,52-WkLow,SharesOut(millions),MarketCap(millions),BookVal,Price/Book,Price/Sales,TrailingP/E,ForwardP/E,EBITDA(millions),Div/Share,TrailingAnnualDivYield,ForwardAnnualDivYield,EPSCurrentYear,EPSEstNextYear,PEGRatio(5yrexpected)
TSLA,"Tesla,Inc.",NMS,USD,195.97,2.75%,246.09,272.43,73.424M,93.902M,402.67,177.12,3158,618824,12.62,15.53,8.27,59.03,34.75,15978,0,,,4.1,5.64,0.97
HD,"TheHomeDepot,Inc.",NYQ,USD,314.94,1.04%,284.8,302.57,3.72M,4.361M,420.61,264.51,1024,322414,0.23,1363.38,2.08,19.35,18.34,26942,7.1,0.02,0.02,16.58,17.17,1.2
MCD,McDonald'sCorporation,NYQ,USD,271.39,-1.63%,253.74,250.42,2.885M,3.315M,281.67,217.68,732.42,198773,-8.97,-30.27,8.54,34.22,25.92,12056,5.52,0.02,0.02,9.95,10.47,4.16
TM,ToyotaMotorCorporation,NYQ,USD,143.26,1.95%,137.82,160.18,"240,575","205,670",213.74,130.07,1369,196087,20483.86,0.01,0.01,11.2,12.51,4003,268.84,0.2,0.03,,11.45,
BABA,AlibabaGroupHoldingLimited,NYQ,USD,70.77,1.43%,77.41,96.12,21.964M,29.035M,169.94,58.01,2648,191106,363.49,0.19,0.22,34.19,8.4,135796,0,,,7.22,8.42,133.5
NKE,"NIKE,Inc.",NYQ,USD,106.09,6.63%,95.58,114.73,8.699M,8.457M,177.75,82.22,1260,165987,10.12,10.49,3.52,30.14,28.14,7078,1.22,0.01,0.01,2.98,3.77,5.14
LOW,"Lowe'sCompanies,Inc.",NYQ,USD,209.02,2.30%,192.74,200.43,3.823M,3.787M,263.31,170.12,620.7,129739,-13.38,-15.62,1.36,16.41,14.55,14313,3.45,0.02,0.02,13.53,14.37,1.61
SBUX,StarbucksCorporation,NMS,USD,97.38,1.16%,88.05,84.24,8.06M,9.516M,117.8,68.39,1148,111783,-7.59,-12.84,3.47,34.41,24.34,5959,1.96,0.02,0.02,3.4,4,1.72
TJX,"TheTJXCompanies,Inc.",NYQ,USD,73.9,-0.14%,66.46,63.42,5.157M,4.95M,77.35,53.69,1161,85802,4.64,15.91,1.73,26.39,21.05,5483,1.07,0.02,0.02,3.1,3.51,2.19
PDD,PinduoduoInc.,NMS,USD,65.18,1.76%,60.91,52.53,13.785M,13.633M,95.1,23.21,1264,82413,72.12,0.9,0.79,30.89,18.01,21815,0,,,2.99,3.62,19.65
BKNG,BookingHoldingsInc.,NMS,USD,"2,015.77",3.56%,"1,806.46","2,038.61","390,873","456,440",2715.66,1616.85,38.79,78191,93.89,21.47,4.88,32.47,16.45,5073,0,,,97.5,122.52,0.39
JD,"JD.com,Inc.",NMS,USD,48.93,6.30%,48.87,58.12,9.022M,12.13M,92.69,33.17,1562,76627,128.93,0.38,0.08,,17.79,14155,0,,,2.05,2.75,39.25
ABNB,"Airbnb,Inc.",NMS,USD,109.57,7.00%,111.11,127.23,6.091M,11.037M,212.58,86.71,398.25,69377,8.75,12.52,8.64,39.7,39.27,1684,0,,,2.58,2.79,0.74
GM,GeneralMotorsCompany,NYQ,USD,41.12,3.47%,36.95,39.01,14.953M,13.157M,67.21,30.33,1421,58419,46.62,0.88,0.4,6.99,6.9,18013,0.09,0,0.01,7.19,5.96,0.35
