Symbol,CompanyName,Exchange,Currency,LastPrice,Chg%,50-DMA,200-DMA,AvgVol(3m),AvgVol(10day),52-WkHigh,52-WkLow,SharesOut(millions),MarketCap(millions),BookVal,Price/Book,Price/Sales,TrailingP/E,ForwardP/E,EBITDA(millions),Div/Share,TrailingAnnualDivYield,ForwardAnnualDivYield,EPSCurrentYear,EPSEstNextYear,PEGRatio(5yrexpected)
XOM,ExxonMobilCorporation,NYQ,USD,113.95,3.12%,99.95,90.67,19.374M,19.476M,114.66,57.96,4118,469279,45.19,2.52,1.21,9.3,10.25,82323,3.52,0.03,0.03,13.82,11.12,0.31
CVX,ChevronCorporation,NYQ,USD,186.46,2.85%,163.98,158.69,9.098M,8.197M,187.1,110.73,1934,360547,82.06,2.27,1.59,10.61,11.05,52929,5.6,0.03,0.03,19.18,16.87,0.64
SHEL,Shellplc,NYQ,USD,55.77,3.51%,52.75,53.64,5.395M,4.996M,61.67,41.23,3548,202201,51.27,1.09,0.55,4.88,5.4,72662,1.48,0.02,0.04,10.77,10.32,1.67
COP,ConocoPhillips,NYQ,USD,133.96,3.48%,117.55,103.42,7.36M,7.974M,138.49,66.06,1246,166924,39.39,3.4,2.17,9.63,10.04,34288,3.04,0.02,0.02,14.59,13.34,0.33
TTE,TotalEnergiesSE,NYQ,USD,58.87,2.99%,51.32,52.41,2.406M,1.902M,61.15,44.61,2516,148135,46.67,1.26,0.58,6.73,4.81,62278,2.85,0.05,0.05,14.33,12.24,-1.99
EQNR,EquinorASA,NYQ,USD,35.22,0.74%,35.22,35.05,3.597M,2.812M,42.53,24.17,3134,110390,13.57,2.6,0.75,4.66,4.6,82634,0.76,0.02,0.02,7.49,7.65,0.81
BP,BPp.l.c.,NYQ,USD,33.84,2.70%,31.25,30.51,10.306M,10.242M,34.54,25.33,3052,103293,18.49,1.83,0.47,,5.42,38102,1.34,0.01,0.04,8.88,6.24,-0.93
EOG,"EOGResources,Inc.",NYQ,USD,147.11,3.37%,126.41,119.63,3.651M,4.665M,150.88,80.67,587.39,86411,40.61,3.62,2.98,11.55,9.69,13576,2.66,0.02,0.02,14.41,15.18,0.94
ENB,EnbridgeInc.,NYQ,USD,41.82,2.22%,39.08,42.68,3.512M,4.592M,47.67,35.02,2025,84678,28.65,1.46,1.62,20.6,17.72,12238,3.42,0.08,0.06,2.18,2.36,8.11
SLB,SchlumbergerLimited,NYQ,USD,54.82,3.24%,43.68,40.59,13.823M,15.782M,55.26,27.65,1418,77734,12.13,4.52,2.94,26.48,18.4,5407,0.6,0.01,0.01,2.16,2.98,0.55
PBR,PetróleoBrasileiroS.A.-Petrobras,NYQ,USD,11.56,5.00%,13.42,13.62,36.286M,55.001M,16.32,9.58,6522,75395,57.11,0.2,0.13,2.21,3.08,327459,6.3,0.48,0.63,5.19,3.75,-0.12
PBR-A,PetróleoBrasileiroS.A.-Petrobras,NYQ,USD,10.13,3.90%,12.05,12.41,16.653M,20.937M,15.04,9.21,6522,70792,57.11,0.18,0.12,1.94,2.98,327459,6.3,0.54,0.75,4.4,3.4,-1.23
CNQ,CanadianNaturalResourcesLimited,NYQ,USD,61.92,1.61%,54.89,56.19,2.53M,2.074M,69.15,36.63,1107,68547,34.38,1.8,1.64,8.04,8.07,22709,2.84,0.05,0.04,8.86,7.67,0.87
OXY,OccidentalPetroleumCorporation,NYQ,USD,74.33,5.46%,67.4,60.62,23.257M,16.922M,77.13,26.05,908.91,67560,20.88,3.56,1.86,7.31,9.68,20710,0.28,0.01,0.01,10.23,7.68,0.18
PXD,PioneerNaturalResourcesCompany,NYQ,USD,255.63,4.15%,243.88,241.24,2.389M,2.254M,288.46,166.97,237.6,60737,96.53,2.65,2.45,9.09,9.25,12669,20.35,0.1,0.1,31.91,27.65,0.36
MPC,MarathonPetroleumCorporation,NYQ,USD,121.23,1.72%,105.66,92.82,4.116M,3.447M,122.69,59.55,468.66,56816,56.08,2.16,0.33,5.44,7.81,20026,2.32,0.02,0.03,25.64,15.52,0.21
EPD,EnterpriseProductsPartnersL.P.,NYQ,USD,25,0.12%,25.13,25.54,5.144M,5.565M,28.65,20.42,2176,54389,12.11,2.07,0.97,10.82,9.51,8448,1.85,0.08,0.08,2.5,2.63,1.16
PSX,Phillips66,NYQ,USD,111.3,4.76%,92.57,89.33,3.51M,3.867M,112.72,67.08,472.63,52604,59.74,1.86,0.32,5.01,8.2,10195,3.78,0.04,0.03,19.6,13.58,0.86
E,EniS.p.A.,NYQ,USD,29.56,2.75%,23.92,26.52,"479,734","408,960",32.56,20.38,1762,52073,32.89,0.9,0.4,3.08,8.57,29991,1.29,0.01,0.06,,3.45,
