Symbol,CompanyName,Exchange,Currency,LastPrice,Chg%,50-DMA,200-DMA,AvgVol(3m),AvgVol(10day),52-WkHigh,52-WkLow,SharesOut(millions),MarketCap(millions),BookVal,Price/Book,Price/Sales,TrailingP/E,ForwardP/E,EBITDA(millions),Div/Share,TrailingAnnualDivYield,ForwardAnnualDivYield,EPSCurrentYear,EPSEstNextYear,PEGRatio(5yrexpected)
BRK-B,BerkshireHathawayInc.,NYQ,USD,309.72,2.15%,280.19,302.94,4.087M,4.189M,362.1,259.85,1302,683190,310560.19,0,2.31,59.45,20.1,9947,0,,,14.34,15.41,0.91
V,VisaInc.,NYQ,USD,205,-0.28%,192.35,205.95,6.826M,7.923M,235.85,174.6,1635,431851,16.08,12.75,14.73,29.29,21.24,20542,1.5,0.01,0.01,8.28,9.65,1.48
JPM,JPMorganChase&Co.,NYQ,USD,135.3,0.16%,117.09,124.66,12.652M,12.91M,169.81,101.28,2933,396862,87,1.56,3.29,11.42,10.57,,4,0.03,0.03,11.67,12.8,96.42
JPM-PC,JPMorganChase&Co.,NYQ,USD,25.48,0.31%,24.82,25.53,"210,822","287,650",27.54,24.06,3325,334242,87,0.29,2.77,1.89,,,0,0.16,0.06,,,
MA,MastercardIncorporated,NYQ,USD,339.29,0.60%,309.75,337.96,2.922M,3.129M,399.92,276.87,953.8,326214,6.61,51.37,15.08,33.9,27.83,13080,1.96,0.01,0.01,10.58,12.19,1.52
JPM-PD,JPMorganChase&Co.,NYQ,USD,24.46,0.91%,24.11,24.91,"150,591","203,200",27.09,22.67,3325,324966,87,0.28,2.69,1.81,,,0,0.17,0.06,,,
BAC,BankofAmericaCorporation,NYQ,USD,38.41,0.73%,33.8,36.75,40.891M,37.1M,50.11,29.31,8022,308142,29.96,1.28,3.37,12.16,10.33,,0.85,0.02,0.02,3.2,3.72,2.01
BAC-PB,BankofAmericaCorporation,NYQ,USD,24.91,0.52%,24.28,25.15,"164,176","136,257",27,23.46,9814,248980,29.96,0.83,2.72,7.09,,,0,0.03,0.06,,,
BAC-PK,BankofAmericaCorporation,NYQ,USD,24.27,0.50%,23.79,24.82,"105,439","110,103",26.86,22.81,9814,243494,29.96,0.81,2.66,6.91,,,0,0.04,0.06,,,
WFC-PR,WellsFargo&Company,NYQ,USD,25.68,0.31%,25.14,25.87,"75,651","87,541",27.97,24.7,4707,189290,41.31,0.62,2.52,5.31,,,0,0.04,0.06,,,
