Symbol,CompanyName,Exchange,Currency,LastPrice,Chg%,50-DMA,200-DMA,AvgVol(3m),AvgVol(10day),52-WkHigh,52-WkLow,SharesOut(millions),MarketCap(millions),BookVal,Price/Book,Price/Sales,TrailingP/E,ForwardP/E,EBITDA(millions),Div/Share,TrailingAnnualDivYield,ForwardAnnualDivYield,EPSCurrentYear,EPSEstNextYear,PEGRatio(5yrexpected)
UNH,UnitedHealthGroupIncorporated,NYQ,USD,522.08,-4.06%,524.43,510.66,2.641M,3.303M,558.1,436,934.35,487805,79.8,6.54,1.55,25.58,20.95,29351,6.2,0.01,0.01,22.03,24.92,1.74
JNJ,Johnson&Johnson,NYQ,USD,169.25,-2.99%,166.88,172.14,7.172M,6.866M,186.69,155.72,2614,442501,28.51,5.94,4.61,23.57,16.32,32049,4.38,0.03,0.03,10.04,10.37,4.46
LLY,EliLillyandCompany,NYQ,USD,352.3,-4.45%,331.24,303.24,2.976M,3.845M,369.8,231.87,950.18,334748,11.19,31.49,11.45,52.98,38.34,10380,3.79,0.01,0.01,7.78,9.19,2.49
PFE,PfizerInc.,NYQ,USD,47.6,0.46%,45.16,49.27,19.512M,22.614M,61.71,41.45,5613,267194,16.51,2.88,2.68,9.12,10.15,44700,1.59,0.03,0.03,6.46,4.69,-2.22
ABBV,AbbVieInc.,NYQ,USD,150.16,0.29%,143.46,147.96,5.314M,5.468M,175.91,115.01,1768,265555,9.04,16.6,4.59,20.02,13.07,29401,5.53,0.04,0.04,13.86,11.49,-27
NVO,NovoNordiskA/S,NYQ,USD,111.47,-3.52%,105.42,107.75,1.538M,1.617M,122.16,91.51,2253,253847,33.9,3.29,1.52,35.05,27.52,77649,11.1,0.1,0.01,3.36,4.05,125.9
MRK,"Merck&Co.,Inc.",NYQ,USD,97.96,-3.86%,91.9,87.59,8.651M,10.107M,103.76,71.5,2535,248368,17.55,5.58,4.21,16.25,12.97,24074,2.76,0.03,0.03,7.38,7.55,1.25
TMO,ThermoFisherScientificInc.,NYQ,USD,538.68,3.48%,521.16,550.3,1.421M,1.88M,672.34,475.77,392.2,211268,111.04,4.85,4.78,30.28,23.1,12395,1.16,0,0,23.03,23.32,5.03
DHR,DanaherCorporation,NYQ,USD,271,1.17%,263.73,268.75,2.687M,3.227M,331.69,233.71,727.96,197278,62.26,4.35,6.31,29.88,25.86,10896,0.96,0,0,10.55,10.48,4.3
AZN,AstraZenecaPLC,NMS,USD,62.77,-3.56%,57.56,62.62,6.633M,6.346M,71.7,52.65,3099,196525,11.35,5.53,4.35,98.08,17.34,9913,1.44,0.03,0.02,3.34,3.62,1.27
ABT,AbbottLaboratories,NYQ,USD,104.09,-0.13%,101.17,111.09,5.895M,5.507M,142.6,93.25,1744,181488,20.46,5.09,4.03,23.5,23.76,13688,1.86,0.02,0.02,5.22,4.38,2.41
NVS,NovartisAG,NYQ,USD,84.02,-1.30%,78.88,84.46,2.406M,2.3M,94.26,74.09,2151,180727,28.27,2.97,3.46,8.66,13.05,19400,3.33,0.04,0.04,6.05,6.44,3.95
