Symbol,CompanyName,Exchange,Currency,LastPrice,Chg%,50-DMA,200-DMA,AvgVol(3m),AvgVol(10day),52-WkHigh,52-WkLow,SharesOut(millions),MarketCap(millions),BookVal,Price/Book,Price/Sales,TrailingP/E,ForwardP/E,EBITDA(millions),Div/Share,TrailingAnnualDivYield,ForwardAnnualDivYield,EPSCurrentYear,EPSEstNextYear,PEG Ratio (5yr expected)
PLD,"Prologis,Inc.",NYQ,USD,116.13,-1.87%,109.73,131.87,4.469M,4.132M,174.54,98.03,923.08,107197,47.58,2.44,18.13,21.55,38.97,4167,3,0.03,0.03,3.56,2.98,-5.49
AMT,AmericanTowerCorporation,NYQ,USD,223.26,1.07%,216.47,242.53,1.954M,2.07M,294.4,178.17,465.61,103951,13.49,16.55,9.95,35.49,49.07,6350,5.69,0.03,0.03,6.34,4.55,-14.46
EQIX,"Equinix,Inc.",NMS,USD,660.6,1.94%,582.79,663.32,"481,617","634,840",853.42,494.89,92.54,61131,120.54,5.48,9.25,86.47,73.73,2439,12.17,0.02,0.02,7.9,8.96,3.15
CCI,CrownCastleInc.,NYQ,USD,140.47,1.31%,144.05,169.37,2.147M,2.572M,209.87,121.71,433.05,60830,17.73,7.92,8.85,37.66,37.06,4012,5.88,0.04,0.04,3.87,3.79,3.64
PSA,PublicStorage,NYQ,USD,295.18,-2.52%,300.65,335.44,"823,143",1.072M,421.76,270.73,175.64,51989,32.38,9.12,12.71,11.99,25.58,2957,8,0.03,0.03,15.16,11.54,1.17
SPG,"SimonPropertyGroup,Inc.",NYQ,USD,120.2,0.13%,101.11,114.04,2.019M,2.101M,171.12,86.02,326.95,44987,9.11,13.19,8.63,20.03,19.97,3742,6.75,0.06,0.06,5.58,6.02,2.5
O,RealtyIncomeCorporation,NYQ,USD,64.98,-0.60%,61.58,67.15,4.31M,3.839M,75.4,55.5,627.15,40752,42.63,1.52,13,65.64,48.13,2857,2.95,0.05,0.05,1.34,1.35,3.46
CSGP,"CoStarGroup,Inc.",NMS,USD,83.28,-1.05%,74.94,66.49,3.303M,2.577M,85.37,49,406.69,33869,16.49,5.05,16.01,99.14,57.04,611.32,0,,,1.25,1.46,3.37
WELL,WelltowerInc.,NYQ,USD,71.58,2.17%,65.15,80.9,2.78M,3.165M,99.43,56.5,472.52,33823,40.57,1.76,5.98,143.16,70.87,2147,2.44,0.03,0.03,0.63,1.01,5.12
DLR,"DigitalRealtyTrust,Inc.",NYQ,USD,111.58,2.75%,102.91,127.24,2.097M,2.486M,178.22,85.76,287.52,32784,56.81,1.96,7.26,22.86,90.72,2153,4.82,0.04,0.04,1.39,1.23,-1.93
SBAC,SBACommunicationsCorporation,NMS,USD,297.98,0.37%,282.48,318.63,"694,184","858,990",391.15,236.2,107.97,32172,-49.69,-6,12.65,80.1,66.51,1622,2.71,0.01,0.01,4.39,4.48,2.17
VICI,VICIPropertiesInc.,NYQ,USD,32.13,-1.50%,31.54,30.5,6.162M,7.8M,35.69,26.23,963.1,30944,22.54,1.43,13.74,30.6,13.61,1248,1.47,0.05,0.05,1.22,2.36,3.77
CBRE,"CBREGroup,Inc.",NYQ,USD,78.83,2.08%,72.44,81.89,1.739M,2.097M,111,66.31,315.95,24906,25.58,3.08,0.8,12.76,14.99,2369,0,,,5.59,5.26,1.26
ARE,"AlexandriaRealEstateEquities,Inc.",NYQ,USD,150.98,-1.69%,143.02,164.75,"839,698","658,580",224.95,126.74,164.09,24774,108.33,1.39,9.91,45.48,55.92,1499,4.66,0.03,0.03,2.94,2.7,-4.77
EQR,EquityResidential,NYQ,USD,62.78,-1.86%,66.66,77.06,1.694M,2.021M,94.32,59.32,377.92,24607,29.26,2.15,9.18,21.5,39.48,1634,2.48,0.04,0.04,1.43,1.59,-2.1
WY,WeyerhaeuserCompany,NYQ,USD,33.09,0.70%,30.49,35.95,4.095M,3.554M,43.04,27.37,735.92,24351,14.69,2.25,2.3,10.81,27.12,3833,0.71,0.02,0.02,3,1.22,2.19
AVB,"AvalonBayCommunities,Inc.",NYQ,USD,167.11,-2.74%,183.03,211.19,"763,984",1.045M,259.05,158.35,139.9,23378,80.28,2.08,9.15,18.99,32.32,1574,6.36,0.04,0.04,5.69,5.17,-3.07
EXR,ExtraSpaceStorageInc.,NYQ,USD,158.33,-2.92%,173.97,186.11,"880,973",1.417M,228.84,149.78,133.92,22249,24.27,6.52,11.81,22.98,24.66,1309,5.75,0.04,0.04,6.09,6.42,4.46
UDR,"UDR,Inc.",NYQ,USD,40.11,-1.43%,41.18,48.6,2.353M,2.435M,61.06,37.18,325.54,21892,11.97,3.35,15.04,80.22,74.28,862.82,1.5,0.04,0.04,0.24,0.54,-4.96
INVH,InvitationHomesInc.,NYQ,USD,31.98,-0.96%,34.03,37.37,6.09M,4.522M,45.8,29.56,611.41,19634,16.87,1.9,9.05,55.14,45.69,1255,0.83,0.03,0.03,0.6,0.7,3.14
