Symbol,CompanyName,Exchange,Currency,LastPrice,Chg%,50-DMA,200-DMA,AvgVol(3m),AvgVol(10day),52-WkHigh,52-WkLow,SharesOut(millions),MarketCap(millions),BookVal,Price/Book,Price/Sales,TrailingP/E,ForwardP/E,EBITDA(millions),Div/Share,TrailingAnnualDivYield,ForwardAnnualDivYield,EPSCurrentYear,EPSEstNextYear,PEGRatio(5yrexpected)
NVDA,NVIDIACorporation,NMS,USD,163.27,3.66%,130.74,182.99,58.387M,55.195M,346.47,108.13,2492,406869,9.58,17.04,13.68,43.78,37.53,10680,0.16,0,0,3.35,4.35,2.01
TSM,TaiwanSemiconductorManufacturingCompanyLimited,NYQ,USD,73.83,4.22%,69.88,89.58,12.888M,13.92M,145,59.43,5186,382888,13.2,5.59,0.18,15.78,12.43,1418,54.87,0.16,0.02,6.52,5.94,0.51
META,"MetaPlatforms,Inc.",NMS,USD,113.02,1.03%,131.1,178.14,42.251M,80.187M,353.83,88.09,2249,299678,46.56,2.43,2.54,9.68,14.47,43867,0,,,9.18,7.81,-0.7
ASML,ASMLHoldingN.V.,NMS,USD,576.44,2.79%,458.06,544.72,1.306M,1.746M,881.12,363.15,397.2,228962,20.08,28.71,11.61,40.71,29.68,6705,6.88,0.01,0.01,13.76,19.42,1.37
AVGO,BroadcomInc.,NMS,USD,518.09,2.27%,471.33,537.01,2.354M,2.322M,677.76,415.07,405.01,209831,51.55,10.05,6.62,22.37,12.79,18163,15.9,0.03,0.03,37.44,40.51,0.89
ORCL,OracleCorporation,NYQ,USD,77.74,0.74%,70.12,74.16,8.835M,8.027M,106.34,60.78,2696,209600,-2.18,-35.68,4.75,36.84,13.73,18405,1.28,0.02,0.02,4.95,5.66,1.44
CSCO,"CiscoSystems,Inc.",NMS,USD,44.79,-1.91%,42.88,47.64,19.856M,19.408M,64.29,38.6,4106,183906,9.68,4.63,3.57,15.88,11.76,15902,1.5,0.03,0.03,3.53,3.81,1.93
ACN,Accentureplc,NYQ,USD,290.09,1.07%,270.69,298.03,2.18M,2.354M,417.37,242.95,630.08,182927,35.02,8.28,2.97,27.09,23.02,10405,3.88,0.01,0.02,11.36,12.6,2.26
TMUS,"T-MobileUS,Inc.",NMS,USD,146.19,-2.83%,140.77,133.82,5.055M,5.98M,154.38,101.51,1244,181882,56.12,2.61,2.27,122.85,22.05,26664,0,,,1.99,6.63,1.34
DIS,TheWaltDisneyCompany,NYQ,USD,95.01,5.03%,102.02,114.87,11.183M,20.616M,160.72,86.28,1781,169213,53.35,1.78,2.05,52.49,17.21,11933,0,,,4.42,5.52,0.81
TXN,TexasInstrumentsIncorporated,NMS,USD,179.49,2.75%,161.6,168.13,6.038M,6.109M,199.9,144.46,907.57,162900,15.94,11.26,8.07,18.81,22.49,11745,4.6,0.03,0.03,9.27,7.98,1.88
VZ,VerizonCommunicationsInc.,NYQ,USD,38.3,-0.57%,38.52,47.15,23.245M,22.087M,55.51,34.55,4200,160853,20.83,1.84,1.19,8.33,7.54,43438,2.57,0.07,0.07,5.19,5.08,3.39
ADBE,AdobeInc.,NMS,USD,341.15,3.39%,311.14,395.1,4.272M,4.044M,699.54,274.73,464.9,158601,30.78,11.08,9.23,32.55,22.43,6728,0,,,13.63,15.21,1.84
